﻿DayOfTheWeek,Hour,Weekday/Weekend,CompletedTrips
Saturday,23,Weekend,"19,523"
Sunday,23,Weekend,"9,860"
Saturday,22,Weekend,"25,038"
Sunday,22,Weekend,"18,198"
Saturday,21,Weekend,"26,977"
Sunday,21,Weekend,"25,601"
Saturday,20,Weekend,"33,887"
Sunday,20,Weekend,"33,896"
Saturday,19,Weekend,"46,957"
Sunday,19,Weekend,"49,172"
Saturday,18,Weekend,"61,565"
Sunday,18,Weekend,"62,786"
Saturday,17,Weekend,"68,390"
Sunday,17,Weekend,"71,533"
Saturday,16,Weekend,"72,928"
Sunday,16,Weekend,"76,033"
Saturday,15,Weekend,"75,352"
Sunday,15,Weekend,"79,085"
Saturday,14,Weekend,"78,691"
Sunday,14,Weekend,"75,756"
Saturday,13,Weekend,"81,471"
Sunday,13,Weekend,"77,078"
Saturday,12,Weekend,"82,112"
Sunday,12,Weekend,"78,805"
Saturday,11,Weekend,"77,080"
Sunday,11,Weekend,"71,879"
Saturday,10,Weekend,"67,011"
Sunday,10,Weekend,"59,761"
Saturday,9,Weekend,"54,656"
Sunday,9,Weekend,"43,694"
Saturday,8,Weekend,"38,629"
Sunday,8,Weekend,"25,959"
Saturday,7,Weekend,"21,044"
Sunday,7,Weekend,"13,891"
Saturday,6,Weekend,"9,127"
Sunday,6,Weekend,"6,666"
Saturday,5,Weekend,"3,785"
Sunday,5,Weekend,"3,055"
Saturday,4,Weekend,"1,901"
Sunday,4,Weekend,"2,505"
Saturday,3,Weekend,"3,064"
Sunday,3,Weekend,"3,897"
Saturday,2,Weekend,"5,989"
Sunday,2,Weekend,"6,938"
Saturday,1,Weekend,"10,227"
Sunday,1,Weekend,"10,258"
Saturday,0,Weekend,"14,027"
Sunday,0,Weekend,"14,937"
Friday,23,Weekday,"19,920"
Thursday,23,Weekday,"16,590"
Wednesday,23,Weekday,"14,530"
Tuesday,23,Weekday,"13,447"
Monday,23,Weekday,"11,523"
Friday,22,Weekday,"25,963"
Thursday,22,Weekday,"29,438"
Wednesday,22,Weekday,"28,458"
Tuesday,22,Weekday,"27,838"
Monday,22,Weekday,"22,276"
Friday,21,Weekday,"31,866"
Thursday,21,Weekday,"42,699"
Wednesday,21,Weekday,"41,591"
Tuesday,21,Weekday,"43,957"
Monday,21,Weekday,"37,936"
Friday,20,Weekday,"43,918"
Thursday,20,Weekday,"59,604"
Wednesday,20,Weekday,"57,699"
Tuesday,20,Weekday,"61,365"
Monday,20,Weekday,"55,814"
Friday,19,Weekday,"68,127"
Thursday,19,Weekday,"89,492"
Wednesday,19,Weekday,"88,275"
Tuesday,19,Weekday,"94,876"
Monday,19,Weekday,"88,119"
Friday,18,Weekday,"107,719"
Thursday,18,Weekday,"142,166"
Wednesday,18,Weekday,"140,923"
Tuesday,18,Weekday,"152,176"
Monday,18,Weekday,"140,960"
Friday,17,Weekday,"175,096"
Thursday,17,Weekday,"219,950"
Wednesday,17,Weekday,"220,764"
Tuesday,17,Weekday,"233,990"
Monday,17,Weekday,"221,689"
Friday,16,Weekday,"147,519"
Thursday,16,Weekday,"141,860"
Wednesday,16,Weekday,"144,499"
Tuesday,16,Weekday,"148,951"
Monday,16,Weekday,"139,726"
Friday,15,Weekday,"89,488"
Thursday,15,Weekday,"71,846"
Wednesday,15,Weekday,"70,801"
Tuesday,15,Weekday,"71,770"
Monday,15,Weekday,"70,867"
Friday,14,Weekday,"67,785"
Thursday,14,Weekday,"52,989"
Wednesday,14,Weekday,"52,622"
Tuesday,14,Weekday,"52,622"
Monday,14,Weekday,"52,979"
Friday,13,Weekday,"69,741"
Thursday,13,Weekday,"56,994"
Wednesday,13,Weekday,"56,469"
Tuesday,13,Weekday,"56,642"
Monday,13,Weekday,"56,486"
Friday,12,Weekday,"70,630"
Thursday,12,Weekday,"59,588"
Wednesday,12,Weekday,"59,195"
Tuesday,12,Weekday,"58,900"
Monday,12,Weekday,"59,266"
Friday,11,Weekday,"56,736"
Thursday,11,Weekday,"50,384"
Wednesday,11,Weekday,"49,465"
Tuesday,11,Weekday,"50,105"
Monday,11,Weekday,"49,688"
Friday,10,Weekday,"44,947"
Thursday,10,Weekday,"41,953"
Wednesday,10,Weekday,"40,438"
Tuesday,10,Weekday,"41,026"
Monday,10,Weekday,"40,098"
Friday,9,Weekday,"70,731"
Thursday,9,Weekday,"70,126"
Wednesday,9,Weekday,"69,467"
Tuesday,9,Weekday,"70,134"
Monday,9,Weekday,"65,466"
Friday,8,Weekday,"158,011"
Thursday,8,Weekday,"164,801"
Wednesday,8,Weekday,"170,157"
Tuesday,8,Weekday,"175,712"
Monday,8,Weekday,"155,690"
Friday,7,Weekday,"122,872"
Thursday,7,Weekday,"129,934"
Wednesday,7,Weekday,"138,376"
Tuesday,7,Weekday,"142,533"
Monday,7,Weekday,"125,045"
Friday,6,Weekday,"53,460"
Thursday,6,Weekday,"58,020"
Wednesday,6,Weekday,"63,345"
Tuesday,6,Weekday,"64,153"
Monday,6,Weekday,"55,220"
Friday,5,Weekday,"14,502"
Thursday,5,Weekday,"16,053"
Wednesday,5,Weekday,"16,809"
Tuesday,5,Weekday,"17,397"
Monday,5,Weekday,"14,415"
Friday,4,Weekday,"2,779"
Thursday,4,Weekday,"2,611"
Wednesday,4,Weekday,"2,547"
Tuesday,4,Weekday,"2,755"
Monday,4,Weekday,"2,421"
Friday,3,Weekday,"1,393"
Thursday,3,Weekday,"1,210"
Wednesday,3,Weekday,"1,149"
Tuesday,3,Weekday,977
Monday,3,Weekday,"1,178"
Friday,2,Weekday,"2,416"
Thursday,2,Weekday,"1,693"
Wednesday,2,Weekday,"1,436"
Tuesday,2,Weekday,"1,300"
Monday,2,Weekday,"1,503"
Friday,1,Weekday,"4,375"
Thursday,1,Weekday,"3,570"
Wednesday,1,Weekday,"2,928"
Tuesday,1,Weekday,"2,606"
Monday,1,Weekday,"2,702"
Friday,0,Weekday,"8,460"
Thursday,0,Weekday,"7,097"
Wednesday,0,Weekday,"6,086"
Tuesday,0,Weekday,"5,490"
Monday,0,Weekday,"5,574"
